利用者連番,利用者ID,タグ／ＱＲフラグ,タグ／ＱＲフラグ,利用者分類ID,利用者分類,利用者名,フリガナ,年齢,携帯電話番号,自宅電話番号,メールアドレス,本人確認書類,本人確認チェック済,本人確認チェック済,本人確認日時,退会フラグ,退会フラグ,退会日
12,450125,0,タグ,25,学生/区民外/該当なし,"山田 裕太",606721,34,'024-625-2168,'05-5775-3228,anishinosono@ogaki.net,免許証,5,自動チェックNG,"2018-11-23 21:32:29",0,いいえ,2018-11-17
13,786521,1,ＱＲ,26,学生/区民/減免,"喜嶋 春香",450989,54,'080-0410-6890,'090-3705-2821,fujimoto.manabu@ekoda.jp,免許証,5,自動チェックNG,"2018-11-23 17:53:45",0,いいえ,2018-12-06
14,460909,0,タグ,30,,"田辺 治",915511,51,'094-182-7135,'086-966-2735,yuki.yamamoto@mail.goo.ne.jp,社員証,3,手動チェックOK,"2018-12-24 10:27:45",1,はい,2018-11-26
15,423264,0,タグ,81,,"三宅 淳",740539,22,'036-442-8706,'0436-55-1020,kyosuke56@yamagishi.com,学生証,2,自動チェックOK,"2018-11-17 01:08:48",0,いいえ,2018-11-29
16,660419,0,タグ,98,,"坂本 千代",200810,24,'01100-7-6312,'090-1140-0446,shuhei.nomura@nishinosono.com,そのほか,1,未チェック,"2018-11-16 18:49:44",1,はい,2018-12-03
17,384056,1,ＱＲ,49,,"工藤 淳",251714,28,'0827-73-4424,'080-3289-8924,kimura.tomoya@mail.goo.ne.jp,社員証,3,手動チェックOK,"2018-12-01 10:57:58",1,はい,2018-11-24
18,545716,1,ＱＲ,15,,"加藤 七夏",513079,47,'090-7899-3072,'07-9201-0380,wkato@mail.goo.ne.jp,学生証,2,自動チェックOK,"2018-11-08 16:30:58",1,はい,2018-11-26
19,669003,0,タグ,34,,"井上 花子",390495,34,'080-7492-0141,'0436-75-2214,kenichi.uno@mail.goo.ne.jp,免許証,5,自動チェックNG,"2018-11-23 09:16:35",1,はい,2018-11-13
20,413775,1,ＱＲ,42,,"加納 七夏",472634,20,'0789-82-4752,'067-774-2230,zsasada@sugiyama.jp,そのほか,3,手動チェックOK,"2018-12-02 10:31:43",1,はい,2018-11-22
21,236612,1,ＱＲ,21,一般/区民/減免,"加藤 和也",740654,39,'067-118-5478,'0290-990-982,osamu.sasaki@matsumoto.jp,社員証,3,手動チェックOK,"2018-11-23 15:17:50",1,はい,2018-11-19
22,439241,0,タグ,10,,"廣川 あすか",193859,33,'090-1302-8287,'080-6068-7467,kazuya.kobayashi@tsuda.net,そのほか,3,手動チェックOK,"2018-11-27 08:12:44",0,いいえ,2018-11-13
23,865173,0,タグ,66,,"吉田 篤司",829092,36,'080-7166-0347,'02970-5-3138,ksato@suzuki.net,学生証,3,手動チェックOK,"2018-11-24 14:39:46",0,いいえ,2018-11-11
24,894924,0,タグ,23,一般/区民外/減免,"大垣 さゆり",200198,43,'06-8835-5419,'0372-44-7832,tanabe.shota@hotmail.co.jp,学生証,2,自動チェックOK,"2018-11-29 01:52:24",1,はい,2018-12-03
25,498534,1,ＱＲ,51,,"宇野 裕美子",372822,59,'0086-17-6244,'090-8167-7950,ishida.yasuhiro@tsuda.com,社員証,2,自動チェックOK,"2018-11-13 23:32:58",0,いいえ,2018-11-09
26,451900,1,ＱＲ,52,,"青田 直子",611193,62,'05060-3-1806,'04672-2-1594,manabu97@hotmail.co.jp,免許証,5,自動チェックNG,"2019-02-26 16:53:18",1,はい,2018-11-09
27,725211,1,ＱＲ,54,,"浜田 翼",483652,41,'09-9574-7593,'0070-000-251,miyazawa.hanako@ekoda.org,そのほか,2,自動チェックOK,"2018-11-18 18:55:22",1,はい,2018-11-19
28,145266,0,タグ,43,,"吉田 千代",921172,37,'07318-5-6617,'0556-49-3503,nagisa.tomoya@hotmail.co.jp,免許証,5,自動チェックNG,"2018-11-22 23:48:11",0,いいえ,2018-12-01
29,502583,1,ＱＲ,13,,"佐藤 京助",319858,35,'042-997-4328,'08-3372-9644,maaya94@mail.goo.ne.jp,免許証,5,自動チェックNG,"2018-11-24 16:04:06",1,はい,2018-12-01
30,283067,1,ＱＲ,62,,"浜田 裕樹",773110,69,'0234-98-8077,'090-8271-1714,asuka.kijima@kudo.jp,そのほか,1,未チェック,"2018-11-23 18:24:04",0,いいえ,2018-11-14
31,914258,0,タグ,69,,"渡辺 稔",236958,49,'0800-940-487,'080-2241-3623,kaori05@tsuda.org,免許証,5,自動チェックNG,"2018-11-20 21:13:56",0,いいえ,2018-11-26
32,280949,1,ＱＲ,8,,"青田 直人",707534,40,'0000-868-163,'080-2518-5512,mikako99@yahoo.co.jp,そのほか,2,自動チェックOK,"2018-11-12 15:49:34",0,いいえ,2018-12-07
33,875796,0,タグ,70,,"木村 裕美子",659499,47,'0430-079-736,'0740-919-934,ito.ryosuke@miyake.net,社員証,3,手動チェックOK,"2018-11-14 22:19:08",1,はい,2018-11-26
34,233472,0,タグ,69,,"中津川 幹",664429,44,'080-8326-7163,'080-6038-7980,yoshimoto.mikako@hotmail.co.jp,社員証,2,自動チェックOK,"2018-11-10 09:00:30",1,はい,2018-11-16
35,767089,1,ＱＲ,7,,"田中 拓真",341888,49,'080-3143-5265,'08162-5-6967,ryohei66@kanou.org,そのほか,1,未チェック,"2018-11-28 13:07:40",0,いいえ,2018-11-28
36,677722,1,ＱＲ,42,,"田辺 幹",294145,22,'0237-70-4291,'07-6738-8336,mikako.nagisa@miyazawa.jp,社員証,2,自動チェックOK,"2018-11-27 00:54:55",1,はい,2018-11-20
37,795354,1,ＱＲ,14,,"喜嶋 充",489430,64,'0143-02-7698,'0033-67-3086,nishinosono.shuhei@nakajima.org,社員証,3,手動チェックOK,"2018-11-19 23:54:23",1,はい,2018-11-12
38,491084,0,タグ,14,,"村山 裕美子",750627,61,'090-9989-5880,'0950-387-230,uno.kumiko@hotmail.co.jp,社員証,2,自動チェックOK,"2018-11-28 04:46:49",0,いいえ,2018-11-19
39,399949,1,ＱＲ,96,,"山本 知実",694080,27,'0240-667-009,'0700-029-415,naoto.hirokawa@gmail.com,学生証,3,手動チェックOK,"2018-11-30 07:26:26",1,はい,2018-12-04
40,835354,0,タグ,63,,"加納 治",480813,43,'03412-7-4992,'090-3332-4256,kobayashi.akira@mail.goo.ne.jp,そのほか,3,手動チェックOK,"2018-11-11 23:44:27",1,はい,2018-11-22
41,598462,0,タグ,83,,"宇野 七夏",272795,59,'080-8480-5175,'097-732-9332,yui74@yahoo.co.jp,そのほか,1,未チェック,"2018-11-15 19:30:06",1,はい,2018-11-26
42,225778,1,ＱＲ,24,学生/区民/該当なし,"山岸 真綾",382374,65,'090-1252-5014,'0432-41-7381,maoyama@gmail.com,学生証,2,自動チェックOK,"2018-11-09 12:13:00",1,はい,2018-11-22
43,891164,1,ＱＲ,58,,"加藤 舞",325868,56,'080-4410-0304,'06403-5-4022,chiyo16@sasada.com,社員証,2,自動チェックOK,"2018-12-02 05:30:18",1,はい,2018-11-25
44,315425,1,ＱＲ,68,,"佐々木 和也",241251,66,'080-2488-0431,'090-7271-9159,rika.idaka@gmail.com,社員証,1,未チェック,"2018-11-16 16:56:41",0,いいえ,2018-11-07
45,591092,0,タグ,89,,"井高 翔太",626785,36,'03-1835-8185,'090-4436-5165,kumiko35@hotmail.co.jp,免許証,5,自動チェックNG,"2018-12-06 05:34:33",0,いいえ,2018-11-12
46,918085,0,タグ,6,,"石田 裕美子",528615,26,'080-9624-2520,'096-993-3023,youichi.nakatsugawa@ito.jp,免許証,5,自動チェックNG,"2019-02-26 16:53:23",0,いいえ,2018-11-24
47,793539,0,タグ,85,,"中村 くみ子",612571,35,'07-9070-1699,'026-183-5586,ekoda.miki@gmail.com,そのほか,3,手動チェックOK,"2018-11-25 05:42:51",0,いいえ,2018-11-17
48,432694,0,タグ,33,,"斉藤 智也",835798,47,'080-8492-2719,'080-8014-1356,kyosuke.sasaki@yamada.jp,免許証,5,自動チェックNG,"2019-02-26 16:53:28",1,はい,2018-11-25
49,702357,0,タグ,84,,"佐藤 真綾",559365,45,'080-2048-2730,'080-0655-2381,harada.yasuhiro@wakamatsu.net,そのほか,1,未チェック,"2018-11-11 00:01:53",1,はい,2018-11-21
50,961435,1,ＱＲ,95,,"浜田 裕美子",120291,45,'019-932-1936,'080-0886-4950,ryosuke.yoshida@hotmail.co.jp,社員証,2,自動チェックOK,"2018-11-27 09:27:18",1,はい,2018-12-02
51,862769,1,ＱＲ,40,,"中津川 加奈",835589,51,'04095-4-4858,'04937-3-7480,tomoya.yoshida@gmail.com,学生証,3,手動チェックOK,"2018-11-13 17:39:29",1,はい,2018-11-11
52,177084,0,タグ,29,,"田中 香織",657475,69,'090-4257-9231,'01-3842-2249,syamagishi@kondo.jp,免許証,5,自動チェックNG,"2018-11-23 07:21:19",1,はい,2018-11-08
53,134249,0,タグ,99,,"木村 明美",393535,52,'0449-17-9706,'0610-083-265,kenichi.kiriyama@kimura.org,社員証,1,未チェック,"2018-11-26 01:49:46",1,はい,2018-11-28
54,433091,1,ＱＲ,83,,"山岸 健一",375748,59,'01-8236-7674,'001-377-7886,wakamatsu.kenichi@yahoo.co.jp,免許証,5,自動チェックNG,"2019-02-26 16:53:33",0,いいえ,2018-12-02
55,287665,0,タグ,55,,"鈴木 陽一",248246,52,'080-6989-7030,'080-5173-3855,cyoshida@yoshimoto.info,社員証,3,手動チェックOK,"2018-12-01 17:49:03",1,はい,2018-11-22
56,692322,0,タグ,99,,"野村 亮介",773980,60,'080-0348-7012,'080-1123-7689,atsushi19@gmail.com,学生証,2,自動チェックOK,"2018-11-25 02:31:03",0,いいえ,2018-12-02
57,805456,1,ＱＲ,90,,"小林 さゆり",176921,30,'03937-3-5521,'0760-81-7671,mitsuru.kanou@gmail.com,免許証,5,自動チェックNG,"2019-02-26 16:53:40",0,いいえ,2018-11-09
58,700617,0,タグ,51,,"西之園 あすか",832674,56,'090-7648-7592,'080-1403-8962,taichi.uno@mail.goo.ne.jp,そのほか,2,自動チェックOK,"2018-12-07 11:16:27",0,いいえ,2018-11-13
59,709445,0,タグ,22,,"浜田 康弘",971967,25,'000-411-7817,'0610-07-3653,naoko65@hotmail.co.jp,そのほか,1,未チェック,"2018-11-13 11:33:20",0,いいえ,2018-12-02
60,702748,0,タグ,89,,"坂本 浩",544279,24,'0718-13-8575,'01123-5-6803,tsubasa.idaka@miyazawa.jp,そのほか,3,手動チェックOK,"2018-12-06 20:03:53",1,はい,2018-11-15
61,165945,1,ＱＲ,70,,"木村 和也",883755,58,'0726-01-3594,'090-4082-0550,yosuke.yamada@gmail.com,そのほか,3,手動チェックOK,"2018-11-14 12:07:34",0,いいえ,2018-11-19
62,230246,1,ＱＲ,76,,"若松 裕樹",483788,53,'0296-65-1741,'080-1110-9430,osamu.yamagishi@yahoo.co.jp,そのほか,2,自動チェックOK,"2018-12-05 15:08:21",0,いいえ,2018-11-18
63,312559,0,タグ,86,,"青田 陽一",686823,23,'07-5781-7701,'080-6299-7609,kijima.yumiko@mail.goo.ne.jp,社員証,2,自動チェックOK,"2018-11-13 06:44:57",1,はい,2018-11-17
64,788356,1,ＱＲ,95,,"佐藤 香織",969418,45,'043-219-0272,'080-5270-3500,kyosuke.sasaki@mail.goo.ne.jp,免許証,5,自動チェックNG,"2019-02-26 16:53:46",0,いいえ,2018-11-19
65,887021,0,タグ,65,,"吉本 浩",129948,42,'03164-3-3012,'0270-913-947,mai.murayama@yahoo.co.jp,免許証,5,自動チェックNG,"2018-11-25 17:25:13",0,いいえ,2018-11-14
66,843662,1,ＱＲ,5,,"桐山 拓真",564443,66,'0860-627-074,'080-0398-8686,momoko48@miyazawa.jp,学生証,2,自動チェックOK,"2018-12-01 21:14:36",0,いいえ,2018-12-01
67,597379,1,ＱＲ,92,,"佐々木 浩",900755,28,'080-6999-5448,'0230-280-868,idaka.rika@gmail.com,そのほか,3,手動チェックOK,"2018-11-25 02:55:48",1,はい,2018-11-26
68,917094,0,タグ,21,一般/区民/減免,"田辺 千代",811846,41,'0120-714-995,'0370-378-738,ryohei.kiriyama@aoyama.biz,学生証,1,未チェック,"2018-12-04 14:24:40",1,はい,2018-11-20
69,713773,0,タグ,10,,"渡辺 京助",956846,63,'05-4900-3936,'0820-215-408,tomoya07@mail.goo.ne.jp,そのほか,3,手動チェックOK,"2018-11-09 13:37:20",1,はい,2018-12-05
70,174908,1,ＱＲ,70,,"工藤 美加子",653300,37,'053-233-1378,'059-151-6955,akobayashi@tanabe.jp,そのほか,2,自動チェックOK,"2018-12-07 06:35:51",0,いいえ,2018-11-13
71,639769,0,タグ,90,,"三宅 治",664056,51,'0376-72-1768,'00570-4-3338,rhirokawa@mail.goo.ne.jp,社員証,2,自動チェックOK,"2018-11-26 05:42:06",0,いいえ,2018-11-23
72,561352,0,タグ,22,,"桐山 治",580649,21,'05-1986-8527,'04316-8-5364,phirokawa@yahoo.co.jp,社員証,1,未チェック,"2018-11-16 02:09:08",0,いいえ,2018-12-02
73,816961,0,タグ,5,,"佐々木 里佳",497792,46,'0560-616-794,'09-9791-5751,xkoizumi@kato.com,免許証,5,自動チェックNG,"2018-11-30 15:04:21",0,いいえ,2018-11-24
74,902332,0,タグ,94,,"中村 真綾",145877,49,'00542-5-1387,'09-7076-5877,satomi.watanabe@kimura.info,学生証,1,未チェック,"2018-12-04 18:12:58",1,はい,2018-11-26
75,476253,1,ＱＲ,94,,"山本 康弘",172197,52,'080-9686-9084,'07-0888-9344,onakajima@yahoo.co.jp,そのほか,1,未チェック,"2018-11-17 06:03:50",1,はい,2018-12-06
76,252829,1,ＱＲ,60,,"小泉 翔太",216711,56,'01991-6-4424,'0010-756-260,tanaka.sayuri@gmail.com,そのほか,1,未チェック,"2018-12-05 22:11:18",0,いいえ,2018-11-23
77,515925,0,タグ,87,,"宮沢 治",226003,52,'07864-6-1248,'0930-58-6438,nagisa.asuka@yahoo.co.jp,免許証,5,自動チェックNG,"2018-12-06 01:27:29",1,はい,2018-12-02
78,869846,1,ＱＲ,,,"加藤 あすか",204419,62,'080-5976-3984,'0173-10-2325,kobayashi.tomoya@yahoo.co.jp,免許証,5,自動チェックNG,"2019-08-02 15:40:35",1,はい,2018-11-10
79,180866,1,ＱＲ,24,学生/区民/該当なし,"宮沢 知実",115141,44,'090-0860-1812,'090-8278-1130,sayuri.sugiyama@tsuda.org,そのほか,3,手動チェックOK,"2018-11-18 09:33:08",0,いいえ,2018-11-09
80,959137,1,ＱＲ,72,,"宇野 翔太",914476,40,'09395-2-5869,'0120-005-266,nanami.tsuda@yahoo.co.jp,そのほか,1,未チェック,"2018-11-23 17:31:15",1,はい,2018-11-11
81,894659,0,タグ,57,,"中島 健一",732005,29,'081-406-2478,'0180-916-549,tsubasa82@kiriyama.net,学生証,1,未チェック,"2018-11-15 16:20:44",1,はい,2018-11-20
82,603908,0,タグ,4,,"野村 亮介",670006,68,'080-8972-1501,'0420-097-422,wkijima@yahoo.co.jp,免許証,5,自動チェックNG,"2019-02-26 16:53:59",0,いいえ,2018-12-03
83,347490,1,ＱＲ,64,,"若松 太郎",748295,51,'0640-98-9398,'0240-797-684,miyazawa.jun@tanabe.jp,学生証,3,手動チェックOK,"2018-11-12 17:41:48",1,はい,2018-11-14
84,461786,0,タグ,78,,"津田 結衣",872984,43,'080-5867-3113,'0830-897-588,yumiko90@mail.goo.ne.jp,免許証,5,自動チェックNG,"2018-11-08 21:50:07",0,いいえ,2018-11-09
85,606059,0,タグ,19,一般/区民外/該当なし,"津田 美加子",631625,30,'098-269-8832,'090-9792-4630,koizumi.kazuya@yahoo.co.jp,学生証,1,未チェック,"2018-11-21 05:40:07",0,いいえ,2018-11-14
86,289344,1,ＱＲ,89,,"渡辺 陽一",673355,54,'0240-574-130,'0150-908-724,yidaka@hotmail.co.jp,社員証,1,未チェック,"2018-11-22 18:40:42",1,はい,2018-11-18
87,913086,1,ＱＲ,16,,"近藤 稔",783031,46,'080-4694-3080,'05702-3-2870,nanami85@gmail.com,免許証,5,自動チェックNG,"2018-11-30 00:11:25",1,はい,2018-11-09
88,350363,0,タグ,17,,"青山 香織",531231,29,'0870-392-792,'0630-181-971,soutaro97@kijima.com,学生証,1,未チェック,"2018-11-29 03:41:25",1,はい,2018-12-04
89,938257,0,タグ,9,,"吉田 裕太",123374,44,'0226-06-1696,'090-0616-3209,yoshida.naoki@hotmail.co.jp,免許証,5,自動チェックNG,"2018-12-05 14:04:08",0,いいえ,2018-12-01
90,447278,1,ＱＲ,82,,"小泉 桃子",129273,57,'080-1807-7381,'0799-83-9006,ynakatsugawa@nakamura.jp,免許証,5,自動チェックNG,"2018-12-01 03:46:21",1,はい,2018-12-04
91,717375,0,タグ,83,,"大垣 加奈",393185,42,'00-0036-8648,'080-2115-0996,taro.sakamoto@miyazawa.biz,社員証,2,自動チェックOK,"2018-11-28 19:07:45",1,はい,2018-11-10
92,833543,1,ＱＲ,54,,"大垣 あすか",932342,29,'080-9157-6555,'090-7834-4386,oaoyama@harada.info,学生証,1,未チェック,"2018-11-20 08:35:24",0,いいえ,2018-11-23
93,605807,1,ＱＲ,92,,"小林 学",925918,49,'080-2452-7667,'090-5429-3564,wkijima@tsuda.biz,そのほか,1,未チェック,"2018-12-04 12:53:08",1,はい,2018-11-28
94,267350,0,タグ,35,,"小泉 花子",417027,59,'0420-630-859,'0300-503-281,yui.idaka@yoshimoto.biz,免許証,5,自動チェックNG,"2018-12-02 08:43:26",0,いいえ,2018-11-13
95,800844,0,タグ,56,,"青田 裕美子",894972,36,'09315-1-6225,'08-9898-0155,nomura.akemi@gmail.com,そのほか,2,自動チェックOK,"2018-11-27 01:02:44",0,いいえ,2018-11-26
96,751553,1,ＱＲ,9,,"山本 真綾",653349,70,'0573-62-7637,'027-259-0990,gito@gmail.com,免許証,5,自動チェックNG,"2018-11-15 00:59:53",0,いいえ,2018-11-11
97,717392,1,ＱＲ,62,,"喜嶋 陽一",282717,58,'0250-692-583,'05389-8-7352,kyosuke02@saito.jp,免許証,5,自動チェックNG,"2019-02-26 16:54:05",1,はい,2018-11-18
98,622682,1,ＱＲ,75,,"山口 和也",959728,58,'0258-46-4565,'08107-3-2428,nyamagishi@gmail.com,社員証,1,未チェック,"2018-11-09 07:32:45",0,いいえ,2018-11-17
99,382345,1,ＱＲ,3,,"山岸 里佳",190230,66,'090-6177-2369,'080-7472-1788,jun.matsumoto@gmail.com,社員証,1,未チェック,"2018-12-02 21:06:49",0,いいえ,2018-11-07
100,575375,1,ＱＲ,24,学生/区民/該当なし,"鈴木 舞",785502,24,'01-6786-7719,'0230-134-491,satomi56@yamaguchi.org,そのほか,1,未チェック,"2018-11-24 21:35:24",0,いいえ,2018-11-24
104,100050001,1,ＱＲ,101,,美狩　一郎,ビーガル　イチロウ,,'080-1315-5632,'080-1315-5632,bigal1231test@gmail.com,あり,2,自動チェックOK,"2018-12-04 00:00:00",1,はい,2018-12-19
105,1000050002,1,ＱＲ,102,,美狩　二郎,ビーガル　ジロウ,,'080-1315-5632,'080-1315-5632,bigal1232test@gmail.com,あり,3,手動チェックOK,"2018-12-11 07:16:21",1,はい,2018-12-19
109,1093,0,タグ,105,,村山　まりな,ムラヤマ　マリナ,,'080　0800　0800,'080　0800　0800,lentrance4@gmail.com,,0,,,0,いいえ,0000-00-00
110,1000050003,1,ＱＲ,8,,美狩　三郎,ビーガル　サブロウ,,'080-1315-5632,'080-1315-5632,bigal1233test@gmail.com,あり,4,手動チェックNG,"2018-12-11 07:16:38",1,はい,2018-12-19
113,888,1,ＱＲ,0,,,,,,,,,1,未チェック,,0,いいえ,0000-00-00
114,1145,1,ＱＲ,164,,上見　和男,ジョウケンカズオ,,'080-9999-9999,'080-9999-9999,joken@bigal.co.jp,免許証,5,自動チェックNG,,0,いいえ,0000-00-00
117,1172,0,タグ,,,村山大輔,"むらやま だいすけ",,'08044324579,'08044324579,damerider@gmail.com,免許証,3,手動チェックOK,"2019-08-19 23:07:46",1,はい,
118,1181,0,タグ,2,一般/区民/該当なし,潘克孝,"ファン カク ヒウー",,'000000,'01267826183,hieuphan@smart.net.vn,免許証,3,手動チェックOK,"2019-08-16 11:10:43",0,いいえ,0000-00-00
120,1000050005,1,ＱＲ,2,一般/区民/該当なし,名前,,,,,,,1,未チェック,,0,いいえ,
121,1215,0,タグ,0,,楠山　和宏,クスヤマ　カズヒロ,,,'090-5437-2095,kusuyama.kazuhiro@gmail.com,,1,未チェック,,0,いいえ,0000-00-00
122,1224,0,タグ,183,,hoangan,734466,,,'090-9434-2754,nguoidepbentoi@gmail.com,免許証,5,自動チェックNG,,0,いいえ,0000-00-00
123,1233,0,タグ,19,一般/区民外/該当なし,竹内英里子,タケウチエリコ,,'080-1234-5678,'080-4358-2361,takeuchi@bigal.co.jp,免許証,2,自動チェックOK,"2020-03-25 14:25:53",0,いいえ,0000-00-00
126,1267,0,タグ,150,,山田太郎,ヤマダ　タロウ（イワオカ）,,'222-3333-3333,'333-3333-3333,iwaoka@bigal.co.jp,免許証,5,自動チェックNG,"2018-12-18 20:54:03",0,いいえ,0000-00-00
10000001,100000013,0,タグ,19,一般/区民外/該当なし,"村山 大輔",ムラヤマダイスケ,,,'080-4432-4579,mura@kokoupz.com,免許証,2,自動チェックOK,"2020-04-16 00:00:00",0,いいえ,
10000002,100000022,0,タグ,157,,山田　太郎,ヤマダ　タロウ,,'1234569611,'1112223333,iwaoca@gmail.com,免許証,5,自動チェックNG,,0,いいえ,0000-00-00
10000004,100000047,0,タグ,165,,森　雅弥,モリ　アミ,,'080-1315-5632,'080-1315-5632,a_mori@bigal.co.jp,免許証,5,自動チェックNG,,0,いいえ,0000-00-00
10000005,100000056,0,タグ,0,,美狩　二郎,ビーガル　ジロウ,,,'080-1315-5632,bigal1232test@gmail.com,,0,,,0,いいえ,0000-00-00
10000102,100001027,0,タグ,19,一般/区民外/該当なし,条谷　天,ジョウヤ　タカシ,,,'0368094802,t_joya@systemio.co.jp,免許証,5,自動チェックNG,,0,いいえ,
10000103,100001036,0,タグ,19,一般/区民外/該当なし,上見　和男３,ジョウケンカズオ,,,'080-3250-6414,k_joken@mit-hd.co.jp,その他（パスポート、保険証、社員証等）,3,手動チェックOK,"2020-05-11 17:27:51",0,いいえ,
10000104,100001045,0,タグ,2,一般/区民/該当なし,huedao,huedao,,,'123-456-788,huedao@smartnet-vietnam.vn,学生証,2,自動チェックOK,,0,いいえ,
10000105,100001054,0,タグ,2,一般/区民/該当なし,村山大輔（kraft),ムラヤマ　ダイスケ,,,'08044324579,murakraft@gmail.com,免許証,3,手動チェックOK,"2019-08-22 00:00:00",0,いいえ,
10000106,100001063,0,タグ,2,一般/区民/該当なし,山田太郎,イワオカタロウ,,,'080-1510-3672,x9xixc@gmail.com,免許証,5,自動チェックNG,,0,いいえ,
10000108,100001081,1,ＱＲ,,,,,,,,,,1,未チェック,,0,いいえ,
10000109,100001097,1,ＱＲ,,,テストさんたろう,てすとさんたろう,,,,,,1,未チェック,,0,いいえ,
10000110,100001106,1,ＱＲ,,,,,,,,,,1,未チェック,,0,いいえ,
10000111,100001115,1,ＱＲ,,,村山,ムラヤマ,,,,,,1,未チェック,,0,いいえ,
10000112,100001124,0,タグ,0,,村山　大輔,ムラヤマ　ダイスケ,,,'080-4432-4579,damerider@gmail.com,免許証,3,手動チェックOK,"2019-08-15 19:34:35",1,はい,
10000113,100001133,0,タグ,19,一般/区民外/該当なし,日本　花子,ニホン　ハナコ,,,'080-3250-6414,k_joken@systemio.co.jp,免許証,5,自動チェックNG,"2019-10-09 00:00:00",0,いいえ,
10000116,100001167,0,タグ,,,上見　和男５,ジョウケンカズオ５,,,'489694172,kjoken0604@gmail.com,,,,,0,いいえ,
10000117,100001176,0,タグ,25,学生/区民外/該当なし,田邉　麻貴2,タナベ　マキ,,'080-1234-2648,'036555-8094-8020,daodongkhe1010@gmail.com,免許証,5,自動チェックNG,"2020-05-12 16:52:37",0,いいえ,2020-05-28
10000119,100001194,0,タグ,2,一般/区民/該当なし,田邉　麻貴3,タナベマキ,,,'080-1234-2648,m_tanabe@systemio.co.jp,免許証,3,手動チェックOK,"2020-05-14 15:49:49",0,いいえ,2019-01-22
10000121,100001212,0,タグ,23,一般/区民外/減免,上見三郎,ジョウケンサブロウ,,,'080-3250-6414,kazuzu64@yahoo.co.jp,免許証,3,手動チェックOK,"2019-08-18 00:00:00",0,いいえ,
10000122,100001221,,タグ,2,一般/区民/該当なし,運勢　貴,ウンセイタカシ,,,'080-3635-3913,xeo600@gmail.com,,,,,0,いいえ,
10000123,100001237,,タグ,2,一般/区民/該当なし,山田　太郎,ヤマダタロウ,,,'000-0520-0000,m_kobayashi@systemio.co.jp,免許証,5,自動チェックNG,"2019-04-02 15:29:46",0,いいえ,
10000125,100001255,1,ＱＲ,2,一般/区民/該当なし,畑田　倫亨,ハタダトモユキ,,'090-7364-9322,'090-7364-9322,t_hatada@systemio.co.jp,免許証,5,自動チェックNG,"2019-02-28 00:00:00",0,いいえ,
10000127,100001273,0,タグ,2,一般/区民/該当なし,畑田　倫亨2,ハタダトモユキ,,,'090-7364-9322,kinmu118@gmail.com,免許証,5,自動チェックNG,"2019-02-26 00:00:00",0,いいえ,
10000129,100001291,0,タグ,24,学生/区民/該当なし,座間　拓海２,ザマ　タクミ２,,,'111-2222-3333,systemio.zama@gmail.com,免許証,5,自動チェックNG,"2019-07-22 00:00:00",0,いいえ,
